,path,sentence
65,wavs/common_voice_th_25669869.wav,พรุ่งนี้เป็นวันอะไร
66,wavs/common_voice_th_25669959.wav,เดี๋ยวก่อน
67,wavs/common_voice_th_25669962.wav,ออฟฟิศ
71,wavs/common_voice_th_25671765.wav,อลิสันเจอโทรศัพท์
89,wavs/common_voice_th_23667796.wav,คนขับรถบรรทุกมักจะหยุดพักระหว่างทางที่ร้านตามจุดพักรถ
94,wavs/common_voice_th_25685411.wav,ตอนนั้นเพลงก็หยุดลง ตัวตลกหยุดชะงักกลางคัน
95,wavs/common_voice_th_25685555.wav,แล้วเป็นไงบ้าง
96,wavs/common_voice_th_25639420.wav,ตรวจพบข้อบกพร่องที่ระบุไม่ได้
97,wavs/common_voice_th_25639548.wav,สุนัขกลายเป็นเชื่องหลังจากที่กินอาหาร
102,wavs/common_voice_th_25712318.wav,พรมปูพื้นผืนนี้ปราณีตจริง
114,wavs/common_voice_th_25885337.wav,ตอนนั้นหุ่นไล่กาได้นั่งบนหินก้อนใหญ่
116,wavs/common_voice_th_25885350.wav,ชีวิตจะต้องอยู่ในขอบเขตของความสุข
118,wavs/common_voice_th_25885353.wav,มาโยแข็งแรงแล้วให้สีสวย
129,wavs/common_voice_th_25885450.wav,เกมส์บันไดงูเป็นเกมส์เสี่ยงโชค
135,wavs/common_voice_th_25885491.wav,บ้านหลังใหญ่มีน้ำก๊อกร้อน
136,wavs/common_voice_th_25885492.wav,ไม่เรียกเก็บเงิน ยกเว้นค่าปันส่วน
138,wavs/common_voice_th_25885500.wav,ทำไมห้วยถึงคลุมรอบ 
140,wavs/common_voice_th_25885503.wav,ก่อนหน้านี้มาได้ไง
149,wavs/common_voice_th_25680076.wav,เกิดเหตุร้ายที่งานเทศกาลศิลปะ
155,wavs/common_voice_th_25931006.wav,คอลินแสดงท่าทางเศร้ามากกว่าเมื่อบ่ายนี้
173,wavs/common_voice_th_25931163.wav,ตลอดทั้งวัน เกร็กสันยังคงอยู่ในบ้าน
179,wavs/common_voice_th_25931276.wav,เติมขวดหมึกด้วยกาวเหนียว
182,wavs/common_voice_th_25931307.wav,เสร็จยัง
187,wavs/common_voice_th_25931351.wav,หนังสติ๊กไม่เป็นอันตรายเหมือนหน้าไม้
198,wavs/common_voice_th_25931510.wav,ดีกว่าที่มีมากกว่าที่หวัง
200,wavs/common_voice_th_26283244.wav,แต่อ้อนแต่ออก
202,wavs/common_voice_th_26283246.wav,ทั้งหมดทั้งตัว
203,wavs/common_voice_th_26283247.wav,สิ่งไม่มีชีวิต
207,wavs/common_voice_th_26283262.wav,ความปลอดภัย
208,wavs/common_voice_th_26283263.wav,ผ่อนหนี้ผ่อนสิน
209,wavs/common_voice_th_26283276.wav,ฉี่รดที่นอน
210,wavs/common_voice_th_26283278.wav,ที่พอจะมีกำลังจ่าย
213,wavs/common_voice_th_26283291.wav,สารอินทรีย์จากนกอินทรี
216,wavs/common_voice_th_26283298.wav,สายรุ้ง  ทมยันตี
217,wavs/common_voice_th_26283325.wav,แกงเลียงกุ้งสด
219,wavs/common_voice_th_26283329.wav,ลูกชิ้นเนื้อ
222,wavs/common_voice_th_26283347.wav,ไม่รู้อีโหน่อีเหน่
223,wavs/common_voice_th_26283348.wav,ลดความขัดแย้งระหว่างยุทธศาสตร์ต่างต่าง
226,wavs/common_voice_th_26283351.wav,ทะเลโฟลเร็ซ
227,wavs/common_voice_th_26283360.wav,เครื่องกำเนิดไฟฟ้า
231,wavs/common_voice_th_26283367.wav,จนกว่าคดีจะถึงที่สุด
232,wavs/common_voice_th_26283378.wav,จรจรัลตันตัดพลัดพลู
235,wavs/common_voice_th_26283381.wav,ให้ไปซื้อปลากะพง หลงไปซื้อปลากระป๋อง
237,wavs/common_voice_th_26283404.wav,ทักษะอาชีพ
238,wavs/common_voice_th_26283405.wav,แสดงปฏิกิริยา
242,wavs/common_voice_th_26283429.wav,เป็นสาวเป็นแส้
250,wavs/common_voice_th_26283452.wav,ติดหน้าตามหลัง
251,wavs/common_voice_th_26283453.wav,กระต่ายแก่แม่ปลาช่อน
253,wavs/common_voice_th_26283468.wav,อุบัติเหตุจะอุบัติ
257,wavs/common_voice_th_26283495.wav,กิจวัตรประจำวัน
258,wavs/common_voice_th_26283496.wav,เหมือนจะสำคัญอะไรผิดไป
260,wavs/common_voice_th_26283498.wav,เป็นฟืนเป็นไฟ
261,wavs/common_voice_th_26283499.wav,สุดแต่ใจจะไขว่คว้า  โบตั๋น
262,wavs/common_voice_th_26283532.wav,หกสิบเจ็ดจุดหกองศา
264,wavs/common_voice_th_26283537.wav,เพราะรอบลานจอดรถนี่มีคนอยู่สองสามคนนั่งอยู่
267,wavs/common_voice_th_26283555.wav,ก็เห็นกลุ่มมอเตอร์ไซค์ส่งของ
268,wavs/common_voice_th_26283556.wav,อ่อนเปลี้ยเพลียแรง
270,wavs/common_voice_th_26283558.wav,ไข่ตุ๋นกุ้งจี๊ดจ๊าด
271,wavs/common_voice_th_26283559.wav,ใบกะเพรา ตามชอบ
275,wavs/common_voice_th_25674249.wav,ได้โปรดบุรุษไปรษณีย์
277,wavs/common_voice_th_25661301.wav,นั่นเป็นสิ่งที่เกิดขึ้นกับหัวใจที่ปวดร้าว
278,wavs/common_voice_th_25662926.wav,วิธีนี้คงไม่ได้ผลอะไรเท่าไหร่
286,wavs/common_voice_th_25671824.wav,ขอโทษคะ
288,wavs/common_voice_th_25671860.wav,แล้ว ในความเงียบงัน เสียงแทมเบอรีนก็ดังกุ๊งกิ๊ง
292,wavs/common_voice_th_26210481.wav,แหล่งข้อมูลอื่น
293,wavs/common_voice_th_26210493.wav,ติดปลายนวม
294,wavs/common_voice_th_26210517.wav,ใช้ไม้แข็ง
296,wavs/common_voice_th_26284687.wav,ในสาขาที่ขาดแคลน
299,wavs/common_voice_th_26284722.wav,แมวฟินิตี้
301,wavs/common_voice_th_26284742.wav,งานเลี้ยงต้อนรับ
303,wavs/common_voice_th_26284745.wav,สแกนเนอร์ส่งภาพเข้าคอมได้ทันที
304,wavs/common_voice_th_26284770.wav,คนวัยหนุ่มสาว
305,wavs/common_voice_th_26284771.wav,เครื่องประดาน้ำ
306,wavs/common_voice_th_26284773.wav,เกลี้ยกล่อมลูกวัวให้ดื่มจากถัง
307,wavs/common_voice_th_26284774.wav,ประชากรศาสตร์
308,wavs/common_voice_th_26284806.wav,มือไม่พาย เอาเท้าราน้ำ
309,wavs/common_voice_th_26284807.wav,สายรักสายสวาท  ศรีฟ้า ลดาวัลย์
310,wavs/common_voice_th_26284812.wav,จดอาหารด้วย โต๊ะในสุด
311,wavs/common_voice_th_26284821.wav,เอกชัย มูลเกษ
314,wavs/common_voice_th_26353980.wav,หลักทรัพย์ ฟินันเซีย ไซรัส
315,wavs/common_voice_th_26353982.wav,สายดิ่งทิ้งทอดมา หยั่งถึง
316,wavs/common_voice_th_26491667.wav,แอตแลนติกเหนือ
321,wavs/common_voice_th_26491678.wav,เพิ่งเกิดขึ้นหลังวันชี้สองสถาน
323,wavs/common_voice_th_26491681.wav,วิถีชีวิต  กมลนารีย์
324,wavs/common_voice_th_26491688.wav,โอนไฟล์จากเครื่อง
325,wavs/common_voice_th_26491689.wav,หลักบ้านหลักเมือง
326,wavs/common_voice_th_26491690.wav,พริกแกงมัสมั่น
329,wavs/common_voice_th_26491698.wav,ไม่มีซีเมนต์ที่จะจับกับไม้แข็ง
330,wavs/common_voice_th_26491699.wav,กระเพาะปลาใส่เส้นหมี่ด้วย
332,wavs/common_voice_th_26491717.wav,กินแหนงแคลงใจ
333,wavs/common_voice_th_26491718.wav,แหล่งเงิน
335,wavs/common_voice_th_26491720.wav,เมโทโคลพราไมด์
336,wavs/common_voice_th_26491721.wav,เครื่องกำมะลอ
337,wavs/common_voice_th_26491737.wav,หุ้นส่วนหัวใจ  จามรี พรรณชมพู
339,wavs/common_voice_th_26491739.wav,ไว้คุยกันใหม่ครับ
340,wavs/common_voice_th_26491740.wav,ช่างรับเหมาก่อสร้าง
341,wavs/common_voice_th_26491741.wav,โซเดียมไซคลาเมต
344,wavs/common_voice_th_27277774.wav,ของไหว้มีอะไรบ้าง
345,wavs/common_voice_th_27277775.wav,แต่ไกรทองก็ใช้เทียนระเบิดน้ำตามไปต่อสู้อีกในถ้ำ
346,wavs/common_voice_th_27277816.wav, หัวใจล้มเหลว
349,wavs/common_voice_th_27277872.wav,อารมณ์แปรปรวน
350,wavs/common_voice_th_27277873.wav,ไม่ระบุชื่อ
355,wavs/common_voice_th_27922952.wav,ยิ่งเห็นป้ายห้ามสูบบุหรี่
356,wavs/common_voice_th_27922965.wav,ฉึก  ตรงเป้า ตรงประเด็น ชะแว้บบบบบ
357,wavs/common_voice_th_27922993.wav,แปโรได้พบศีรษะที่ถูกฝังในกล่องลังไม้
361,wavs/common_voice_th_28469153.wav,ไอเดียต่อเติมห้องนอนสวย
362,wavs/common_voice_th_28469166.wav,นำมาจัดเรียงให้สวยงาม
363,wavs/common_voice_th_25640983.wav,ปิดจอ
366,wavs/common_voice_th_25641141.wav,ห้าสิบหกเปอร์เซนต์
373,wavs/common_voice_th_25899762.wav,เส้นเลือดอุดตันที่ปอดเป็นสิ่งที่อันตราย
375,wavs/common_voice_th_25899771.wav,ค่าจ้างก้อนใหญ่ของฮันใช้ไปกับเชื้อเพลิง
376,wavs/common_voice_th_25899780.wav,คนจนยังดีกว่าคนโกหก
386,wavs/common_voice_th_25901223.wav,ตอนนี้ไปก่อนเถอะ ค่อยมาที่นี่วันหลัง
391,wavs/common_voice_th_25901239.wav,นักล่าแมงป่องสิบเอ็ดคน
410,wavs/common_voice_th_25901323.wav,สอบทีแคสมีกี่รอบ
413,wavs/common_voice_th_25901347.wav,ชาวจีนสร้างรถไฟรางเดี่ยวที่ลอยอยู่บนสนามแม่เหล็ก
421,wavs/common_voice_th_31974944.wav,ใน แกะกล่อง เหมือน บาร์เทนเดอร์ เลยอ่ะ
431,wavs/common_voice_th_25974377.wav,พวกนักทำลายบ้านดูเหมือนจะชอบเตาผิงที่ทำจากไม้นะ
438,wavs/common_voice_th_25974452.wav,ไม่ครับท่าน
442,wavs/common_voice_th_25974487.wav,เพลงแร็พที่มีจังหวะอิเล็กทรอนิกส์อันดังเรียกว่าฮิปฮอป
443,wavs/common_voice_th_25976797.wav,รถลีมูซีนที่สกปรกกำลังขับไปตามถนนสายที่ห้า
446,wavs/common_voice_th_25976847.wav,อาเหม็ดไม่เคยเป็นกังฉิน
452,wavs/common_voice_th_25976954.wav,เค้ามีอีกชื่อว่าอะไร
456,wavs/common_voice_th_25977020.wav,ด้วยคะแนนเสียงมากกว่ากึ่งหนึ่ง
464,wavs/common_voice_th_25977356.wav,หนูอยากย้ายไปสายศิลป์
469,wavs/common_voice_th_26546680.wav,เขียนเล่น เป็นคำ ทำสนุก
472,wavs/common_voice_th_26546697.wav,สีสันหรรษา เฮฮาปาร์ตี้ จั๊กจี้หัวใจ
474,wavs/common_voice_th_26546699.wav,ประวัติศาสตร์ซ้ำรอย
475,wavs/common_voice_th_26546701.wav,น้ำจากก๊อกน้ำรั่วไปหลายถังกว่าจะถูกซ่อม
476,wavs/common_voice_th_26546702.wav,หน่วยความจำเสริม
477,wavs/common_voice_th_26546703.wav,ต่อมน้ำเหลือง
479,wavs/common_voice_th_26546705.wav,ความไม่ถูกต้อง
483,wavs/common_voice_th_26546719.wav,เล็กพริกขี้หนู
484,wavs/common_voice_th_26546720.wav,เดี๋ยวจะลองดูฮะ
485,wavs/common_voice_th_26546721.wav,กำแพงมีหูประตูมีตา
487,wavs/common_voice_th_26546729.wav,ซ้ำแล้วซ้ำอีก
490,wavs/common_voice_th_26546733.wav,สร้อยทอง  นิมิตร ภูมิถาวร
492,wavs/common_voice_th_26546743.wav,ขนมหวานคละกันห้าสิบชนิด
494,wavs/common_voice_th_26546745.wav,ขึ้นชื่อลือนาม
496,wavs/common_voice_th_26546747.wav,อ่าว ติดร่างแหไปด้วยเหรอฮะ เศร้า
501,wavs/common_voice_th_26546757.wav,ใบสำคัญประจำตัว
502,wavs/common_voice_th_26546768.wav,สิ่งละอันพันละน้อย
505,wavs/common_voice_th_26546771.wav,นาฬิกาเรือนเก่าบนกำแพงบอกเวลาสายในตอนเช้า
508,wavs/common_voice_th_26546779.wav,เชียงเฮียงตั้ว
510,wavs/common_voice_th_26546781.wav,แนะนำตัวสะกด
511,wavs/common_voice_th_26546782.wav,ธีรวัฒน์ สัจสุวรรณ
512,wavs/common_voice_th_26546793.wav,ลดผลกระทบทางสิ่งแวดล้อม
513,wavs/common_voice_th_26546794.wav,อำเภอดำเนินสะดวก
514,wavs/common_voice_th_26546795.wav,พอเป็นกรุงเทพบางจุด
515,wavs/common_voice_th_26546796.wav,ไอเดียที่เสนอให้ใช้เลเซอร์ไอดีตอนแรก
516,wavs/common_voice_th_26546797.wav,อดมื้อกินมื้อ
517,wavs/common_voice_th_26546808.wav,วิทยุกระจายเสียง
519,wavs/common_voice_th_26546811.wav,กลไกระเบิดตัวเอง
520,wavs/common_voice_th_26546812.wav,สื่อสิ่งพิมพ์
522,wavs/common_voice_th_26546829.wav,ต้มยำกุ้งน้ำใส
524,wavs/common_voice_th_26546831.wav,วุ่นนักรักซะเลย  ทัศนีย์ สีทอง
525,wavs/common_voice_th_26546832.wav,ไต่ไม้ลำเดียว
526,wavs/common_voice_th_26546843.wav,สามสาบาน  ศักดิ์ สุริยา
527,wavs/common_voice_th_26546845.wav,ภูมิลำเนาเดิม
530,wavs/common_voice_th_26546866.wav,เอื้อเฟื้อเผื่อแผ่
531,wavs/common_voice_th_26546867.wav,กินน้ำตาต่างข้าว
533,wavs/common_voice_th_26546869.wav,อุบัติเหตุ  ดอกไม้สด
536,wavs/common_voice_th_26546888.wav,หนึ่งสามศูนย์ศูนย์
537,wavs/common_voice_th_26546889.wav,ใกล้แค่เอื้อม
539,wavs/common_voice_th_26546891.wav,ด้วยความสมัครใจ
540,wavs/common_voice_th_26546904.wav,สามวันดีสี่วันไข้
544,wavs/common_voice_th_26546911.wav,สาวน้อยเล่นน้ำ
551,wavs/common_voice_th_25917067.wav,พิจารณาว่าตอนนี้กี่โมงแล้ว
557,wavs/common_voice_th_25917118.wav,เวลาเป็นสิ่งสำคัญเมื่อเล่าเรื่องตลกที่ดี
562,wavs/common_voice_th_25917151.wav,นี่ก็มาเป็นส่วนหนึ่งของตารางกิจวัตรประจำวัน
567,wavs/common_voice_th_25917199.wav,โคมไฟอันนี้ดูสวยดีนะ
572,wavs/common_voice_th_25917297.wav,เสียงของความสิ้นหวังดังเข้ามาในห้อง
576,wavs/common_voice_th_25917322.wav,คราบหมึกแห้ง ในหน้าที่เสร็จแล้ว
586,wavs/common_voice_th_25917384.wav,ทางไปไร่ธัญพืชอยู่สุดถนน
587,wavs/common_voice_th_25917388.wav,หล่อนคิดว่าอาหารเช้ามักจะเร็วกว่านี้
591,wavs/common_voice_th_25917431.wav,หลังจากหลายปีของสัญญาที่ล้มเหลว นักลงทุนก็เริ่มรู้สึกหมดหวัง
597,wavs/common_voice_th_25888614.wav,ทางเดินหลายสายมุ่งไปสู่จุดหมายเดียวกัน
601,wavs/common_voice_th_25888622.wav,ชั้นเรียนถูกยกเลิกเนื่องจากเกิดสารเคมีรั่วไหล
615,wavs/common_voice_th_25888645.wav,วันนี้รถบัสมาสาย
616,wavs/common_voice_th_25888646.wav,ที่นี่มีที่ว่างอีกแห่งระหว่างต้นไม้ที่เรียกว่าสิงโต
617,wavs/common_voice_th_25888647.wav,ได้เกิดมาโชคดีกว่าเกิดมารวย
630,wavs/common_voice_th_25888675.wav,อย่าโยนทารกลงอ่างอาบน้ำ
644,wavs/common_voice_th_25888723.wav,เรือเดินทะเลที่ไม่ปรากฏชื่อสามลำกำลังมุ่งหน้าไปยังคาบสมุทร
648,wavs/common_voice_th_25888734.wav,ไม่มีใครตั้งใจสร้างกำแพง
657,wavs/common_voice_th_25631346.wav,วันอาสาฬหบูชา
660,wavs/common_voice_th_25671117.wav,อย่าขยับ
662,wavs/common_voice_th_25671158.wav,แต่ไม่นาน
663,wavs/common_voice_th_25671159.wav,โจดูดฝุ่นห้องนั่งเล่น
666,wavs/common_voice_th_25671782.wav,ดอกทานตะวันออกดอกสวยงาม
674,wavs/common_voice_th_27354523.wav,โรงแรมของมหาลัย
675,wavs/common_voice_th_27354524.wav,ในทริป
676,wavs/common_voice_th_27354526.wav,อะไรอ่ะ
677,wavs/common_voice_th_27354527.wav,ถือว่าจะได้รับสิ่งตอบแทนที่มีค่ากว่าตัวเงิน
678,wavs/common_voice_th_27354528.wav,เขียนบิดกันไปขนาดนั้น
679,wavs/common_voice_th_27354535.wav,ต้องมีเรื่องให้ทำจนเหนื่อย
682,wavs/common_voice_th_27354538.wav,ไม่ต้องจ่ายสักบาท
686,wavs/common_voice_th_27354570.wav,ล้างออก
689,wavs/common_voice_th_27354595.wav,ช่วยกันสร้างแผนที่ละแวกบ้าน ด้วย
690,wavs/common_voice_th_27354596.wav,เตือนสติไม่ให้ประมาท
691,wavs/common_voice_th_27354597.wav,แล้วเอามารวมกัน
692,wavs/common_voice_th_27354598.wav,ใช้เว็บไหนแล้วไม่ชอบใจ
693,wavs/common_voice_th_27354621.wav,ฝากประชาสัมพันธ์ด้วยครับ ติชมกดที่หน้า ไอเดีย
696,wavs/common_voice_th_27354624.wav,ไม่รู้จักอ่ะ โบ
698,wavs/common_voice_th_27354651.wav,มูลนิธินี่ ทำไปทำมา เหมือนตั้งมาฟอกเงิน 
699,wavs/common_voice_th_27354652.wav,แถมตั้งขวางดิจิทัลเกตเวย์
701,wavs/common_voice_th_27354654.wav,ไม่ใช่จุดไปเรื่อยเปื่อย
702,wavs/common_voice_th_27354655.wav,อีกทั้งยังช่วยลดปัญหารอยฝ้าจาง
705,wavs/common_voice_th_27354689.wav,เคลื่อนไหวลำบาก
706,wavs/common_voice_th_27354690.wav,วันเยาวชนสากล
707,wavs/common_voice_th_27354691.wav,กาละแมร์
709,wavs/common_voice_th_27354698.wav,นครลำปาง
710,wavs/common_voice_th_27354699.wav,ข้าวแกง
713,wavs/common_voice_th_27354742.wav,รูปหายอ่ะ
715,wavs/common_voice_th_27354745.wav,ถ้าท่านไม่ทอดทิ้งศาสดา
717,wavs/common_voice_th_27354771.wav,แล้วหยิบขึ้นมาพิจารณาทีละชิ้น
719,wavs/common_voice_th_27354778.wav,หนึ่ง ระดับ
721,wavs/common_voice_th_27354871.wav,ถึงจะไม่หวือหวาโรแมนติกอะไร
723,wavs/common_voice_th_27354873.wav,ครั้นคนนำความไปกราบทูล
726,wavs/common_voice_th_27354895.wav,ทุกภูมิ
728,wavs/common_voice_th_27354902.wav,สนามบิน
729,wavs/common_voice_th_28277890.wav,แล้วปล่อยทิ้งไว้ประมาณ หนึ่งพันสามสิบ นาที
731,wavs/common_voice_th_28277939.wav,พอกลับบ้านมาก็อยากทิ้งตัวลงนอนเลย
732,wavs/common_voice_th_28277940.wav,งี้คนขายแผงลอย ก็อดไปพิพิธภัณฑ์ดิ ดันหยุดตรงกัน
738,wavs/common_voice_th_28278020.wav,อยู่ในความรักที่ไว้วางใจกันมากขึ้น
742,wavs/common_voice_th_32069274.wav,อารมณ์จะแปรปรวนง่าย
743,wavs/common_voice_th_32124736.wav,มีคนที่สอดคล้องต้องกัน
744,wavs/common_voice_th_32124760.wav,สามแสนเจ็ดหมื่นแปดพันสามสิบห้า
745,wavs/common_voice_th_32124902.wav,หกล้านสองพันสามร้อย
749,wavs/common_voice_th_32162534.wav,สำรวจราคา
750,wavs/common_voice_th_32162592.wav,อยู่สุวรรณภูมิ
754,wavs/common_voice_th_25668849.wav,ชายหาดมีหาดทรายสวยงาม
757,wavs/common_voice_th_25669314.wav,นั่นดูไม่ค่อยจะเหมาะเลย
762,wavs/common_voice_th_25669834.wav,คอนกรีตถูกมอสขึ้นเกาะ
764,wavs/common_voice_th_25669933.wav,พายุเฮอริเคนมีมีแนวโน้มจะเข้าถล่มอีกสามวันข้างหน้า
768,wavs/common_voice_th_25670257.wav,ขอยืมของวิเศษหน่อย
771,wavs/common_voice_th_25654139.wav,งั้นลองคิดดูสิ
773,wavs/common_voice_th_25654405.wav,สามนาฬิกา
779,wavs/common_voice_th_25684309.wav,อยากกินบุฟเฟ่
789,wavs/common_voice_th_25904311.wav,นั่นเป็นคนที่น่ากลัวกว่าเสมียน
796,wavs/common_voice_th_25904517.wav,มาเธ่อยู่ในทางแล้ว
798,wavs/common_voice_th_25904551.wav,ปุ่มบนรวงของข้าวสาลีเจริญเติบโตทุกวัน
799,wavs/common_voice_th_25904555.wav,อยากกินทุเรียนไหม
803,wavs/common_voice_th_26153808.wav,ห้างหุ้นส่วนจำกัด เตชะกำพุพืชผล
804,wavs/common_voice_th_26153810.wav,ปัญหาใหม่ เตะพร้อม
806,wavs/common_voice_th_26153814.wav,นั่นน่ะสิ ทันแหละเนอะ
808,wavs/common_voice_th_26153864.wav,ที เค เอส เทคโนโลยี
809,wavs/common_voice_th_26153866.wav,วันนี้ฝนตก กาแฟเลยเหนียวผิดปกติ
812,wavs/common_voice_th_26153918.wav,ปิดประตูคอกไปก็ไม่มีประโยชน์ ในเมื่อม้าได้หนีไปแล้ว
814,wavs/common_voice_th_26153923.wav,หจกเลขะพันธุ์ก่อสร้าง
816,wavs/common_voice_th_26154038.wav,สมาร์ทวอชบางรุ่นสามารถวัดชีพจรได้
817,wavs/common_voice_th_26154039.wav,คอเป็นเอ็น
821,wavs/common_voice_th_26154165.wav,ถ้าปิดสองเดือนคงมีสกินเฮด
828,wavs/common_voice_th_26154254.wav,แชงกรีลา โฮเต็ล
830,wavs/common_voice_th_26154409.wav,พายเรือในอ่าง
831,wavs/common_voice_th_26154411.wav,ตกล่องปล้องชิ้น
837,wavs/common_voice_th_26154747.wav,หมู่เกาะพีพี
838,wavs/common_voice_th_25674454.wav,สุภาพบุรุษยิปซี
839,wavs/common_voice_th_25675372.wav,คอเสื้อที่สะอาดหมายถึงปกเสื้อที่เรียบร้อย
844,wavs/common_voice_th_25675885.wav,ล็อกจอ
845,wavs/common_voice_th_25675887.wav,เจนนี่ไปอิตาลีปีที่แล้ว
846,wavs/common_voice_th_25676779.wav,ถ้วยนี้ทำมาจากโพลีสไตรีน
852,wavs/common_voice_th_25641378.wav,วอน
855,wavs/common_voice_th_25642022.wav,จอสูงเกินไป
860,wavs/common_voice_th_25657704.wav,น่าชื่นชม
870,wavs/common_voice_th_25645582.wav,มิลค์เชคดีที่สุดในรูปแบบช็อกโกแลต
873,wavs/common_voice_th_27379947.wav,บรรทัดล่างกว่า ทำงงทุกที ว่ารันรุ่นไหนตัวไหนอยู่
879,wavs/common_voice_th_27380012.wav,เศรษฐศาสตร์สตรี  ถ้าตัดสินใจไม่ได้
880,wavs/common_voice_th_27380013.wav,แน่นอนว่ากลายเป็นเศษกระดาษหลังแพ้จีนคอมมิวนิสต์
881,wavs/common_voice_th_27380014.wav,ถูก ไปด้วย 
882,wavs/common_voice_th_27380015.wav,ที่ไม่โหวต
884,wavs/common_voice_th_27380058.wav,อะไรเหรอ
885,wavs/common_voice_th_27380060.wav,เคลิ้มตามได้ตลอดเวลา
888,wavs/common_voice_th_27380125.wav,ระดับความเทพ ของนัก
892,wavs/common_voice_th_27380132.wav,เมาดี
899,wavs/common_voice_th_27380194.wav,ไม่ต้องทำเอง ก็เป็นได้
900,wavs/common_voice_th_27380198.wav,ป่ะที่โพสต์ 
902,wavs/common_voice_th_27380213.wav,ทีละนิด
903,wavs/common_voice_th_27380214.wav,เสียใจ
904,wavs/common_voice_th_27380215.wav,เงะ
905,wavs/common_voice_th_27380233.wav,ทะลึ่ง
907,wavs/common_voice_th_27380236.wav,ไม่โอเค
909,wavs/common_voice_th_27380244.wav,สนิมจับ
914,wavs/common_voice_th_27380276.wav,โอกาสในวิกฤตจะค่อย
915,wavs/common_voice_th_27380299.wav,ไกรทองกระโดดขึ้นบนหลังจระเข้
916,wavs/common_voice_th_27380302.wav,ส่งเมลไปรบกวนพี่ครับ เรื่อง
917,wavs/common_voice_th_27380304.wav,เชื่อว่ามีหวังกว่าแจ้ง
919,wavs/common_voice_th_27380325.wav,เบิร์ดกะฮาร์ท
924,wavs/common_voice_th_27380353.wav,แรงบันดาลใจ
926,wavs/common_voice_th_27380356.wav,ในท้องที่ใกล้
927,wavs/common_voice_th_27380357.wav,ที่เป็นอยู่ก็จะไปกันได้เรื่อย
928,wavs/common_voice_th_27380402.wav,จัดเวลา
929,wavs/common_voice_th_27380403.wav,รีเทิร์น
930,wavs/common_voice_th_27380406.wav,โอ๊ะ ดูวันที่ใหม่
931,wavs/common_voice_th_27380407.wav,กล้องวงจรปิดกี่ตัว
936,wavs/common_voice_th_27380492.wav,แนะนำให้ตรวจนั่นนี่ด้วยตัวเอง
939,wavs/common_voice_th_27380498.wav,แน่ล่ะมักไม่เป็นมรรคเป็นผลอันใด
940,wavs/common_voice_th_27380533.wav, เปิดมาก็ไม่ได้ทำให้สาธารณะได้ประโยชน์อะไรเพิ่ม
944,wavs/common_voice_th_27380537.wav,ภาวะอารมณ์คลุมเครือ
945,wavs/common_voice_th_27380563.wav,งั้น เอาเป็นแบบฟรีซดีป่ะ
947,wavs/common_voice_th_27380569.wav,เกียร์
948,wavs/common_voice_th_27380570.wav,เมื่อเทศนาจบ
953,wavs/common_voice_th_24736684.wav,มีอาอายุครบเจ็ดขวบวันนี้
954,wavs/common_voice_th_24736687.wav,บ่ายโมง
955,wavs/common_voice_th_24736700.wav,วันทำงาน
958,wavs/common_voice_th_24736976.wav,เมษายน
